cidade,cidade_sem_acento,uf,marca,macro_regional,sigla_regional,regional1,subregional,chave
ACARAÚ,ACARAU,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,ACARAU-CE-MOB
ACOPIARA,ACOPIARA,CE,MOB,Nordeste,T12,Juazeiro,T12,ACOPIARA-CE-MOB
AGUANIL,AGUANIL,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,AGUANIL-MG-UNIVOX
AIUABA,AIUABA,CE,MOB,Nordeste,T12,Juazeiro,T12,AIUABA-CE-MOB
ALÉM PARAÍBA,ALEM PARAIBA,MG,SUMICITY,Sudeste 2,T6,Serrana,T6.2,ALEM PARAIBA-MG-SUMICITY
ALPINÓPOLIS,ALPINOPOLIS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,ALPINOPOLIS-MG-UNIVOX
ALTINÓPOLIS,ALTINOPOLIS,SP,UNIVOX,Sudeste 2,T9,Brasília & Interior MG,T9.2,ALTINOPOLIS-SP-UNIVOX
ALTOS,ALTOS,PI,MOB,Nordeste,T13,Teresina,T13,ALTOS-PI-MOB
ANCHIETA,ANCHIETA,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,ANCHIETA-ES-SUMICITY
ANTONINA DO NORTE,ANTONINA DO NORTE,CE,MOB,Nordeste,T12,Juazeiro,T12,ANTONINA DO NORTE-CE-MOB
APERIBÉ,APERIBE,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,APERIBE-RJ-SUMICITY
APUCARANA,APUCARANA,PR,LIGUE,Sudeste 1,T1,Paraná,T1,APUCARANA-PR-LIGUE
AQUIRAZ,AQUIRAZ,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,AQUIRAZ-CE-MOB
ARACAJU,ARACAJU,SE,MOB,Nordeste,T11,Sergipe,T11,ARACAJU-SE-MOB
ARAMINA,ARAMINA,SP,CLICK,Sudeste 2,T9,Brasília & Interior MG,T9.2,ARAMINA-SP-CLICK
ARAPONGAS,ARAPONGAS,PR,LIGUE,Sudeste 1,T1,Paraná,T1,ARAPONGAS-PR-LIGUE
ARARIPE,ARARIPE,CE,MOB,Nordeste,T12,Juazeiro,T12,ARARIPE-CE-MOB
ARARUAMA,ARARUAMA,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.1,ARARUAMA-RJ-SUMICITY
ARARUNA,ARARUNA,PR,LIGUE,Sudeste 1,T1,Paraná,T1,ARARUNA-PR-LIGUE
ARAXÁ,ARAXA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,ARAXA-MG-CLICK
ARMAÇÃO DOS BÚZIOS,ARMACAO DOS BUZIOS,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.2,ARMACAO DOS BUZIOS-RJ-SUMICITY
ARNEIROZ,ARNEIROZ,CE,MOB,Nordeste,T12,Juazeiro,T12,ARNEIROZ-CE-MOB
ARRAIAL DO CABO,ARRAIAL DO CABO,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.1,ARRAIAL DO CABO-RJ-SUMICITY
ASSARÉ,ASSARE,CE,MOB,Nordeste,T12,Juazeiro,T12,ASSARE-CE-MOB
BARBALHA,BARBALHA,CE,MOB,Nordeste,T12,Juazeiro,T12,BARBALHA-CE-MOB
BARRA DO PIRAÍ,BARRA DO PIRAI,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,BARRA DO PIRAI-RJ-SUMICITY
BARRA DOS COQUEIROS,BARRA DOS COQUEIROS,SE,MOB,Nordeste,T11,Sergipe,T11,BARRA DOS COQUEIROS-SE-MOB
BARRA MANSA,BARRA MANSA,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,BARRA MANSA-RJ-SUMICITY
BEBERIBE,BEBERIBE,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,BEBERIBE-CE-MOB
BERTIOGA,BERTIOGA,SP,GIGA+,Sudeste 1,T4,Litoral SP,T4.2,BERTIOGA-SP-GIGA+
BERTIOGA,BERTIOGA,SP,NIU FIBRA,Sudeste 1 ,T4,Litoral SP,T4.2,BERTIOGA-SP-NIU FIBRA
BOA ESPERANÇA,BOA ESPERANCA,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,BOA ESPERANCA-MG-UNIVOX
BOM JARDIM,BOM JARDIM,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.1,BOM JARDIM-RJ-SUMICITY
BRASILIA,BRASILIA,DF,GIGA+,Sudeste 2,T9,Brasília & Interior MG,T9.1,BRASILIA-DF-GIGA+
BREJO SANTO,BREJO SANTO,CE,MOB,Nordeste,T12,Juazeiro,T12,BREJO SANTO-CE-MOB
CABO FRIO,CABO FRIO,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.2,CABO FRIO-RJ-SUMICITY
CAÇAPAVA,CACAPAVA,SP,VIP,Sudeste 1,T4,São Paulo,T4.5,CACAPAVA-SP-VIP
CACHOEIRAS DE MACACU,CACHOEIRAS DE MACACU,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.1,CACHOEIRAS DE MACACU-RJ-SUMICITY
